Title_text,Title_href,Price,Description,Buyinfo
"DJI kvadrokoptéra Mavic Pro Fly More Combo, 4K Full HD kamera - DJIM0250C",https://drony.heureka.sk/dji-kvadrokoptera-mavic-pro-fly-more-combo-4k-full-hd-kamera-djim0250c/,"1 479,00 - 1 663,64 €","DJI Mavic Pro Fly More combo je balík určený pre tých, ktorí si berú dron na dlhšie dobrodružstvá. Batoh, dve náhradné batérie, nabíjačka na 4 akumulátory, vám zaručia väčší...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
"
                    AEE TORUK AP9 - AEE0009
                ",https://3b03526a0dbc2e6018e63348d8d47352.heureka.sk/0/1154.click?tt=c30be5d1ee9708d0416e7c37006154ab39b35d12a2e6cbf34ec0a4b8040bd547896e287091883a1a0ddd5e8f15fbeeb6f4646ed240fc246a98d0b06763f22d98a3759d87d9fcc96b0154c45e62811998e875bb6ca84c996da3f775931a153e8bad008aa6d11eedd6389f5e854d859c5414748b9fa7e3c8362bddfe6dc6181ec3ce684cedc5e8b958c51fc4e4d1b6a5c1e03074dc05cba1a68f0dddd74adb6b6b507290470626e6fe53b7c554383410471178853ba3971ba8a41b6a88bc034cfd38df6d85f2615d25d1d730b57d61c1c85f018fd877f37cff22011fb7cc376cd2fdf68ccffb4b8001bb4c6880f5a973000439e4c5a2a75ed54ec5b6981d433fb7f2995431a3be826ccbda63c0f34e33ac4dd7d832a0ea5bd6ef4f1164f8b9c5159208fc2fb10f6175a4c9d96e52d0ce2cc43b857b2a5f5048d580bb30c2608b64598820ce114bb844710c55c27780cb42dcaadfa8b08e93a488585d48db8aa1e9368b0aaf4e9ef459cdb261f3ec881d9a865429801ba519a6bd94b7b14407260a8cbf5b60f9e4c3c1cd72ca570ec02ad7e29fc6fb8a49754cbc3c27cd0c7f74746a7b4933903af23698ea76fc91126ab22963d959432a2d5e865482f4792fe655d7cfa5114358b20cac7330a4ea773ce56ba6755b461bd37d62a968abf3888407c9a1ea061ddb1f8262b6c9e3befe0d4da3d369ae5779f200cb313b15f686221408746b27d74a0738ed840a0dc1546239&positionId=category_advert_pos0&positionIndex=0&removedProducts=&guid=3C0E509A-6EF0-46E8-A3F9-3F4868B48BD5,"368,90 - 428,99 €","
            Dva držiaky pre pripevnenie ľubovoľnej akčnej kamery. Dosah diaľkového ovládača až 700 m, výdrž batérie až 20 minút letu, GPS, funkcia automatického návratu, jednoduché ovládanie..
        ",
DJI Mavic Pro - DJIM0250,https://drony.heureka.sk/dji-mavic-pro-djim0250/,"1 160,00 - 1 322,31 €","DJI Mavic Pro je malý, napriek tomu výkonný dron, vďaka ktorému sa z oblohy stáva plátno vašej kreativity, ľahko a bez starostí, a pomáha vám z každého momentu vytvoriť moment...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
DJI PHANTOM 4 - DJI0420,https://drony.heureka.sk/dji-phantom-4-dji0420/,"1 110,00 - 1 758,80 €","DJI - Phantom 4

DJI Phantom 4 je kompletná platforma pre leteckú fotografiu a video, ktorá je ""pripravená na let rovno z krabice"". Smart drone od DJI má magnéziový skelet,...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
"DFmodel Sky Watcher 3 - rc dron s 18 min letom, FPV a HD kamerou - RC_16964",https://drony.heureka.sk/dfmodel-sky-watcher-3-rc-dron-s-18-min-letom-fpv-a-hd-kamerou-rc-16964/,"106,00 €","RC model SKY WATCHER 3 HD 9115 s HD kamerou wifi a neuveriteľnou dobou letu 18 min.

Na jedno nabitie lietate až neuveriteľných 18 minút. Má vynikajúce testy odolnosti, použité...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
DJI Phantom 3 Standard - DJI0326,https://drony.heureka.sk/dji-phantom-3-standard-dji0326/,"450,00 - 817,16 €","Popis produktu

Drone DJI Phantom 3 Standard
Pripravte sa na úchvatné zábery prírodných scenérií a objektov. Snímajte 2,7K videá a fotografie v perfektnej kvalite zhotovené z...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
"
                    KVADROKOPTÉR Defiant DF-GR02 dosah pri ovládaní: až 150m
                ",https://3b03526a0dbc2e6018e63348d8d47352.heureka.sk/0/2683.click?tt=c30be5d1ee9708d0416e7c37006154ab39b35d12a2e6cbf34ec0a4b8040bd547896e287091883a1a0ddd5e8f15fbeeb6f4646ed240fc246a98d0b06763f22d98d1025e21a14ce5fa4c9ca7d4f6b56746ce8bc008af5dff97dc468635abc1a1dceaf787fc3cbd49594fbeb0f0b87ace7a0289bf15a79aa4549cb2a985ee533e8b315ad592d0a7483188a978af3c2671bfbb4f67a72a10a6c7793dfd5110a0e09dac31429eb67408bad32aff8c6bde1900f613c49ebfe3ce2e4c14f3ffa9d1beaa751b39b0ef9ca358f16fcc10863d31b6ac6125af7372f5912711b5467c12701cefa875b24ac14057fe11965134ee4f665295769127410ad904e4797eef60218d203a31baf75784e2845a002cc702aab61550211f6aedb5030d4808650d2dde656a5984b7474fb4a7d4ebae74436afe51032ffd1ac045774acf68f7a6ea05f40c0a32245b264447bed1e1b2918c7b0cd5913ec259668423a8b268eca52b31bbb38b02d6ec313fd15d6511854dae43f7fb953482b4c5807d4fbf66d0ef42f3c91e893972c40ddfef15d0eceaed15acea758e59a8557a5ea1d7eb74093c2ddc2c62498cba1df499ab79414730d992b409f6060b8259c731b14fca5a9564a905859b1582f537e6b14c9d2454c005a1c08dff3170cfd59632247d84166aacbb215bd16ff199fee78fcd0b17c7c7f9409b9d5da8a9d7e3cd36d9ce125507196a45d3d155d9fe6dff227c87ceec774d25f2be69&positionId=category_advert_pos1&positionIndex=0&removedProducts=&guid=A6F46F8E-E202-45E5-A767-C24B63713310,"60,00 €","
            Možnosť prenášanie obrazu do vašeho smartfónu v reálnom čase
DDoba výdrže batérie pri lietaní: 5-20 minútoba nabíjania batérie: približne len 60 minút

        ",
BUDDY TOYS BRQ 110 RC Dron 10,https://drony.heureka.sk/buddy-toys-brq-110-rc-dron-10/,"33,90 - 47,24 €","RC Dron pre malých nadšencov je ideálny pre zoznámenie sa s týmito lietajúcimi modelmi. Chlapci majú možnosť vybrať jeden z 3 letových režimov - začiatočník, normál alebo...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
SYMA X5UW WIFI-HD kamera + barometer + ovládanie telefónom - RC_46409,https://drony.heureka.sk/syma-x5uw-wifi-hd-kamera-plus-barometer-plus-ovladanie-telefonom-rc-46409/,"99,00 €","RC dron Syma X5UW - 4CH 2.4 Ghz, s WiFi prenosom videa do telefónu, barometrom, s možnosťou lietať podľa navolenej trasy

Kvadrokoptéra X5UW je absolútna novinka od výrobcu...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
Syma X11C - odolná rc kvadrokoptéra s HD kamerou - RC_16692,https://drony.heureka.sk/syma-x11c-odolna-rc-kvadrokoptera-s-hd-kamerou-rc-16692/,"49,74 - 58,00 €","RC DRON S KAMEROU

RC kvadrokoptéra SYMA X11C je ideálnou voľbou pre tých, ktorí hľadajú univerzálny RC model multikoptéry, ktorý môže lietať vo všetkých podmienkach. Nízka...Možné zakúpiť priamo na Heureka.sk",Možné zakúpiť priamo na Heureka.sk
